,iso2,flow,sum_2016,sum_2017,sum_2018,sum_2019,sum_2020,sum_2021,ISO3,name
0,FR,1,40947003235,45718182715,46458798651,46644030672,43815998442,53880952276,FRA,France
1,FR,2,16194278740,17146236298,17883851153,17785714636,16174795048,20019063594,FRA,France
2,NL,1,15929589316,16816247729,17497744247,18046179999,15791879131,19659325612,NLD,Netherlands
3,NL,2,45521350350,50621990884,52079038466,53195757818,50540503850,63526906269,NLD,Netherlands
4,DE,1,69699270859,69114054803,68990372394,69933568968,59340354388,66207317589,DEU,Germany
5,DE,2,101097033702,105674685502,105333478709,106544205924,90900685310,102316268475,DEU,Germany
6,IT,1,32767431284,35071521016,36625660404,34827223145,31288183720,39185582930,ITA,Italy
7,IT,2,44008029575,46332597381,48655289837,50561234939,45188798240,52766016587,ITA,Italy
8,GB,1,29675078608,30149348213,31133354107,34070992667,0,0,GBR,United Kingdom
9,GB,2,23780224259,26774260679,27009024805,27907710809,0,0,GBR,United Kingdom
10,IE,1,9302143399,12745088125,10845030382,13490892729,10061654598,10573239559,IRL,Ireland
11,IE,2,4892593941,5202518328,5288633064,5392611162,5376810407,5247320360,IRL,Ireland
12,DK,1,2401889443,2551361888,2623749107,2711390595,2760520123,3247646493,DNK,Denmark
13,DK,2,3124291332,3333696436,3502458569,3613411126,3482858195,3961279432,DNK,Denmark
14,GR,1,1914172901,2141519220,2181315014,2426704798,2149951857,2670920692,GRC,Greece
15,GR,2,712889181,777011049,1018402375,1196151596,1788887757,1870707462,GRC,Greece
16,PT,1,4732229924,5106901744,5794449977,7851079258,5086142554,5508497883,PRT,Portugal
17,PT,2,6323384820,6911771155,7333965117,7746237541,7300311440,8327956341,PRT,Portugal
18,ES,1,34320291724,37071472952,36341877958,37244309194,31899232523,38206623065,ESP,Spain
19,ES,2,40157933348,42865646730,43480412804,45737971362,44029434184,52190154931,ESP,Spain
20,BE,1,32420202431,34534855756,36359569949,38033016085,34053500867,41198682051,BEL,Belgium
21,BE,2,55216182132,56932816797,57313443125,56440120792,50976849578,65699432116,BEL,Belgium
22,LU,1,2054007487,2330779140,2348599613,2348736879,1998152159,2818157627,LUX,Luxembourg
23,LU,2,2204649101,1989988401,2054601522,2302319162,2013128893,2278124781,LUX,Luxembourg
24,SE,1,5180525806,5346638589,5352827982,5363265150,4999124643,6049235749,SWE,Sweden
25,SE,2,5559854896,5683539233,6052363935,5807583063,5560845772,6587229445,SWE,Sweden
26,FI,1,2177405142,2226888527,1897570377,2059648262,1835968480,1644042139,FIN,Finland
27,FI,2,1587339142,1823586273,1790549387,1920817501,1821913202,2078096047,FIN,Finland
28,AT,1,3542795621,3658797056,3998353252,3973833503,3691298701,4305482465,AUT,Austria
29,AT,2,5478021107,7154498485,6570909656,6845057307,6218480735,6422364578,AUT,Austria
30,MT,1,247751857,229928886,297582650,461076428,323467086,388311983,MLT,Malta
31,MT,2,242160226,238026791,271267633,269882238,210578656,152431123,MLT,Malta
32,EE,1,281078330,328356175,326839489,351817612,312325740,372409343,EST,Estonia
33,EE,2,198551984,258155209,305119727,309039790,261791349,354313833,EST,Estonia
34,LV,1,297126242,355700235,356445683,408551287,377522327,460922922,LVA,Latvia
35,LV,2,179001192,192589642,228310146,249825048,263591989,387192516,LVA,Latvia
36,LT,1,847191575,1086157630,1045667043,1043077225,963237907,1193872242,LTU,Lithuania
37,LT,2,624743255,661906214,706713596,744524497,722855888,827218684,LTU,Lithuania
38,PL,1,7693740734,8580278589,9046600255,9550830615,8696358070,11022784450,POL,Poland
39,PL,2,9983868933,11616495172,12404008362,13892177607,13354859347,16247070774,POL,Poland
40,CZ,1,4083533806,4620104279,4901736073,4980563234,4597326558,5174367198,CZE,Czechia
41,CZ,2,7560053807,8174260647,8666882411,9163067102,7881145966,8867719695,CZE,Czechia
42,SK,1,2844428669,3127372113,3172594341,3309127351,3268347331,3432222878,SVK,Slovakia
43,SK,2,4228948493,4654350257,5017062065,5628449343,5482800499,5747578227,SVK,Slovakia
44,HU,1,3623940617,3816963394,3711142620,3936706217,3898372101,3942815880,HUN,Hungary
45,HU,2,4468439712,4432668130,4556892005,4732872995,4469291806,5111350680,HUN,Hungary
46,RO,1,3731358660,4002834859,4212368612,4243330716,3721722703,4143100490,ROU,Romania
47,RO,2,4141348894,4242370797,4799826711,4754886274,4174982342,4771228646,ROU,Romania
48,BG,1,824114464,871964364,881263005,1011475077,887655567,1029098460,BGR,Bulgaria
49,BG,2,1063418003,1092687805,1127290126,1127306476,1073952548,1267941014,BGR,Bulgaria
50,SI,1,943447956,1180495557,1273576058,1181359611,944953561,1146361264,SVN,Slovenia
51,SI,2,1211724426,1631444377,1765225873,1883335242,1752598029,1919734387,SVN,Slovenia
52,HR,1,478117214,538767789,614734470,680903465,599854549,698882706,HRV,Croatia
53,HR,2,289437254,346219405,377495117,433257058,450633271,489544739,HRV,Croatia
54,CY,1,284241866,305658891,189090601,260193548,151322261,140953779,CYP,Cyprus
55,CY,2,24968848,17740470,35063483,40820151,114822929,42427786,CYP,Cyprus
